Time,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,ETrId,ATrId,severity
 2015-08-01,89,81,73,74,73,71,94,78,57,29.88,29.83,29.75,10,9,6,17,7,,0,0,,213, 2015-8-1,2015-Jul_Week3,SUCCESS
 2015-08-02,93,86,79,75,71,66,85,66,41,29.74,29.7,29.67,10,9,1,17,8,28,0.23,1,Rain-Thunderstorm,245, 2015-8-2,2015-Jul_Week3,SUCCESS
 2015-08-03,89,81,75,72,68,63,87,64,44,29.68,29.63,29.58,10,10,9,14,4,22,0,1,,278, 2015-8-3,2015-Jul_Week3,SUCCESS
 2015-08-04,86,75,66,64,54,49,71,47,31,29.88,29.76,29.65,10,10,10,16,9,23,0,0,,317, 2015-8-4,2015-Jul_Week3,SUCCESS
 2015-08-05,84,74,64,61,54,47,68,49,27,29.93,29.9,29.88,10,10,10,14,6,20,0,0,,297, 2015-8-5,2015-Jul_Week3,SUCCESS
 2015-08-06,84,75,66,62,54,47,68,49,28,29.96,29.93,29.9,10,10,10,14,4,22,0,2,,315, 2015-8-6,2015-Jul_Week3,SUCCESS
 2015-08-07,82,74,66,68,61,57,82,63,44,30.01,29.99,29.94,10,10,10,14,6,,0,0,,155, 2015-8-7,2015-Jul_Week3,SUCCESS
 2015-08-08,86,78,71,69,66,60,87,67,44,30.02,29.99,29.97,10,10,10,22,11,31,0,2,,201, 2015-8-8,2015-Jul_Week4,SUCCESS
 2015-08-09,82,78,73,71,68,65,87,75,56,30.05,30.01,29.98,10,10,4,13,8,23,0.25,3,Rain-Thunderstorm,207, 2015-8-9,2015-Jul_Week4,SUCCESS
 2015-08-10,89,80,72,72,71,69,91,74,55,30.03,29.99,29.95,10,10,10,12,7,,0,0,,213, 2015-8-10,2015-Jul_Week4,SUCCESS
 2015-08-11,93,82,73,73,69,63,87,63,38,29.99,29.96,29.93,10,10,7,15,6,,0,0,,239, 2015-8-11,2015-Jul_Week4,SUCCESS
 2015-08-12,84,80,75,76,73,71,94,85,71,29.94,29.87,29.81,10,8,0,22,11,32,0.67,5,Fog-Rain-Thunderstorm,215, 2015-8-12,2015-Jul_Week4,SUCCESS
 2015-08-13,91,81,72,72,61,51,93,56,26,29.88,29.84,29.8,10,9,4,13,6,21,0,0,,300, 2015-8-13,2015-Jul_Week4,SUCCESS
 2015-08-14,91,82,73,65,60,54,73,50,31,29.85,29.8,29.76,10,10,10,20,7,28,0,0,,261, 2015-8-14,2015-Aug-Week1,SUCCESS
 2015-08-15,86,76,68,69,60,56,79,55,38,29.94,29.9,29.86,10,10,10,13,6,,0,0,,195, 2015-8-15,2015-Aug-Week1,SUCCESS
 2015-08-16,88,80,72,73,66,61,84,65,45,29.88,29.84,29.79,10,10,10,21,10,30,0,0,,218, 2015-8-16,2015-Aug-Week1,SUCCESS
 2015-08-17,91,80,70,74,64,49,90,63,28,29.91,29.86,29.83,10,10,5,17,11,33,0.04,2,Rain-Thunderstorm,242, 2015-8-17,2015-Aug-Week1,SUCCESS
 2015-08-18,89,78,68,62,57,52,76,49,28,29.96,29.89,29.84,10,10,10,15,5,23,0,1,,326, 2015-8-18,2015-Aug-Week1,SUCCESS
 2015-08-19,73,68,64,56,54,52,68,58,48,29.99,29.96,29.94,10,10,10,6,4,,0,0,,322, 2015-8-19,2015-Aug-Week1,SUCCESS
