Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2017,1,1,6,1325,1325,1609,1544,NW,97,A367NW,224,199,208,25,0,MSP,PHX,1276,7,9,0,NA,0,NA,NA,NA,NA,NA
2017,1,2,7,630,630,1032,1041,NW,1804,A367NW,182,191,165,-9,0,PHX,MSP,1276,6,11,0,NA,0,NA,NA,NA,NA,NA
2017,2,7,1,2216,2220,45,33,NW,109,A367NW,209,193,159,12,-4,MSP,PHX,1276,4,46,0,NA,0,NA,NA,NA,NA,NA
2017,2,8,2,626,630,1020,1034,NW,1804,A367NW,174,184,157,-14,-4,PHX,MSP,1276,8,9,0,NA,0,NA,NA,NA,NA,NA
2017,2,9,3,2354,2355,522,529,NW,250,A367NW,208,214,187,-7,-1,PHX,DTW,1671,9,12,0,NA,0,NA,NA,NA,NA,NA
2017,2,9,3,1837,1840,2137,2103,NW,1801,A367NW,240,203,218,34,-3,MSP,PHX,1276,3,19,0,NA,0,NA,NA,NA,NA,NA
2017,2,13,7,1637,1620,2233,2209,NW,252,A367NW,236,229,205,24,17,PHX,DTW,1671,17,14,0,NA,0,NA,NA,NA,NA,NA
2017,2,13,7,1305,1305,1531,1525,NW,1735,A367NW,206,200,186,6,0,MSP,PHX,1276,3,17,0,NA,0,NA,NA,NA,NA,NA
2017,3,7,2,2217,2220,25,33,NW,109,A367NW,188,193,173,-8,-3,MSP,PHX,1276,4,11,0,NA,0,NA,NA,NA,NA,NA
2017,3,20,1,1837,1840,2114,2103,NW,1801,A367NW,217,203,192,11,-3,MSP,PHX,1276,3,22,0,NA,0,NA,NA,NA,NA,NA
2017,2,6,7,2029,2035,2034,2043,TW,299,EI-BWD,65,68,47,-9,-6,PHX,SAN,304,2,16,0,NA,0,NA,NA,NA,NA,NA
2017,2,6,7,1723,1725,1946,2001,TW,299,EI-BWD,203,216,179,-15,-2,STL,PHX,1262,5,19,0,NA,0,NA,NA,NA,NA,NA
2017,2,6,7,125,130,510,515,TW,462,EI-BWD,165,165,154,-5,-5,PHX,STL,1262,3,8,0,NA,0,NA,NA,NA,NA,NA
2017,2,6,7,2234,2240,34,43,TW,462,EI-BWD,60,63,47,-9,-6,SAN,PHX,304,3,10,0,NA,0,NA,NA,NA,NA,NA
2017,2,9,3,2228,2035,2245,2043,TW,299,EI-BWD,77,68,55,122,113,PHX,SAN,304,11,11,0,NA,0,NA,NA,NA,NA,NA
2017,2,9,3,1934,1725,2157,2001,TW,299,EI-BWD,203,216,185,116,129,STL,PHX,1262,6,12,0,NA,0,NA,NA,NA,NA,NA
2017,3,7,2,2155,2035,2212,2043,TW,299,EI-BWD,77,68,62,89,80,PHX,SAN,304,3,12,0,NA,0,NA,NA,NA,NA,NA
2017,3,7,2,1806,1725,2119,1957,TW,299,EI-BWD,253,212,236,82,41,STL,PHX,1262,5,12,0,NA,0,NA,NA,NA,NA,NA
2017,3,7,2,128,130,508,515,TW,462,EI-BWD,160,165,142,-7,-2,PHX,STL,1262,5,13,0,NA,0,NA,NA,NA,NA,NA
2017,3,7,2,2254,2240,101,43,TW,462,EI-BWD,67,63,42,18,14,SAN,PHX,304,5,20,0,NA,0,NA,NA,NA,NA,NA
2017,3,20,1,2034,2020,2259,2245,TW,179,EI-BWD,205,205,176,14,14,STL,PHX,1262,3,26,0,NA,0,NA,NA,NA,NA,NA
2017,3,21,2,819,820,1221,1213,TW,218,EI-BWD,182,173,162,8,-1,PHX,STL,1262,5,15,0,NA,0,NA,NA,NA,NA,NA
2017,3,21,2,2033,2035,2036,2043,TW,299,EI-BWD,63,68,46,-7,-2,PHX,SAN,304,3,14,0,NA,0,NA,NA,NA,NA,NA
2017,3,21,2,1726,1725,1954,1957,TW,299,EI-BWD,208,212,181,-3,1,STL,PHX,1262,3,24,0,NA,0,NA,NA,NA,NA,NA
2017,3,21,2,127,130,533,515,TW,462,EI-BWD,186,165,167,18,-3,PHX,STL,1262,4,15,0,NA,0,NA,NA,NA,NA,NA
2017,3,21,2,2240,2240,54,43,TW,462,EI-BWD,74,63,51,11,0,SAN,PHX,304,4,19,0,NA,0,NA,NA,NA,NA,NA
2017,1,5,3,741,700,1307,1230,DL,610,N101DA,206,210,181,37,41,PHX,ATL,1587,9,16,0,NA,0,NA,NA,NA,NA,NA
2017,1,13,4,2036,2040,2223,2215,DL,797,N101DA,107,95,76,8,-4,SLC,PHX,507,9,22,0,NA,0,NA,NA,NA,NA,NA
2017,1,14,5,659,700,1223,1230,DL,610,N101DA,204,210,175,-7,-1,PHX,ATL,1587,12,17,0,NA,0,NA,NA,NA,NA,NA
2017,1,19,3,2034,2040,2212,2215,DL,797,N101DA,98,95,75,-3,-6,SLC,PHX,507,5,18,0,NA,0,NA,NA,NA,NA,NA
2017,1,20,4,659,700,1208,1230,DL,610,N101DA,189,210,167,-22,-1,PHX,ATL,1587,8,14,0,NA,0,NA,NA,NA,NA,NA
2017,1,23,7,2111,2040,2245,2215,DL,797,N101DA,94,95,72,30,31,SLC,PHX,507,4,18,0,NA,0,NA,NA,NA,NA,NA
2017,1,24,1,656,700,1215,1230,DL,610,N101DA,199,210,180,-15,-4,PHX,ATL,1587,7,12,0,NA,0,NA,NA,NA,NA,NA
2017,1,7,5,1757,1740,2118,2102,US,165,N101UW,321,322,287,16,17,PHL,PHX,2075,6,28,0,NA,0,NA,NA,NA,NA,NA
2017,1,8,6,733,730,1308,1324,US,158,N101UW,215,234,203,-16,3,PHX,PIT,1813,4,8,0,NA,0,NA,NA,NA,NA,NA
2017,2,9,3,828,825,1107,1102,US,175,N101UW,279,277,245,5,3,CLT,PHX,1774,4,30,0,NA,0,NA,NA,NA,NA,NA
2017,2,9,3,1327,1330,1915,1912,US,178,N101UW,228,222,203,3,-3,PHX,CLT,1774,5,20,0,NA,0,NA,NA,NA,NA,NA
2017,2,16,3,827,825,1105,1102,US,175,N101UW,278,277,261,3,2,CLT,PHX,1774,5,12,0,NA,0,NA,NA,NA,NA,NA
2017,2,16,3,1328,1330,1910,1912,US,178,N101UW,222,222,196,-2,-2,PHX,CLT,1774,7,19,0,NA,0,NA,NA,NA,NA,NA
2017,2,18,5,941,825,1223,1102,US,175,N101UW,282,277,265,81,76,CLT,PHX,1774,4,13,0,NA,0,NA,NA,NA,NA,NA
