Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,1,23,1,1419,1230,1742,1552,UA,183,NA,323,322,NA,110,109,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,24,2,1255,1230,1612,1552,UA,183,NA,317,322,NA,20,25,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,25,3,1230,1230,1533,1552,UA,183,NA,303,322,NA,-19,0,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,26,4,1230,1230,1523,1552,UA,183,NA,293,322,NA,-29,0,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,27,5,1232,1230,1513,1552,UA,183,NA,281,322,NA,-39,2,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,28,6,1228,1230,1550,1552,UA,183,NA,322,322,NA,-2,-2,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,29,7,1639,1230,1942,1552,UA,183,NA,303,322,NA,230,249,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,30,1,1231,1230,1531,1552,UA,183,NA,300,322,NA,-21,1,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,31,2,1405,1230,1827,1552,UA,183,NA,382,322,NA,155,95,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,2,1,1057,1045,1537,1554,UA,184,NA,160,189,NA,-17,12,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,3,2,1117,1045,1607,1554,UA,184,NA,170,189,NA,13,32,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,4,3,1107,1045,1604,1554,UA,184,NA,177,189,NA,10,22,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,5,4,1119,1045,1612,1554,UA,184,NA,173,189,NA,18,34,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,6,5,1044,1045,1548,1554,UA,184,NA,184,189,NA,-6,-1,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,7,6,1100,1045,1559,1554,UA,184,NA,179,189,NA,5,15,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,8,7,1110,1045,1554,1554,UA,184,NA,164,189,NA,0,25,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,9,1,1044,1045,1535,1554,UA,184,NA,171,189,NA,-19,-1,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,10,2,1048,1045,1539,1554,UA,184,NA,171,189,NA,-15,3,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,11,3,1150,1045,1701,1554,UA,184,NA,191,189,NA,67,65,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,12,4,1048,1045,1549,1554,UA,184,NA,181,189,NA,-5,3,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,13,5,1048,1045,1549,1554,UA,184,NA,181,189,NA,-5,3,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,14,6,1050,1045,1546,1554,UA,184,NA,176,189,NA,-8,5,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,15,7,1221,1045,1759,1554,UA,184,NA,218,189,NA,125,96,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,16,1,1048,1045,1542,1554,UA,184,NA,174,189,NA,-12,3,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,17,2,1054,1045,1551,1554,UA,184,NA,177,189,NA,-3,9,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,18,3,1046,1045,1545,1554,UA,184,NA,179,189,NA,-9,1,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,19,4,1045,1045,1538,1554,UA,184,NA,173,189,NA,-16,0,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,20,5,1046,1045,1550,1554,UA,184,NA,184,189,NA,-4,1,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,21,6,1147,1045,1640,1554,UA,184,NA,173,189,NA,46,62,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,22,7,1228,1045,1734,1554,UA,184,NA,186,189,NA,100,103,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
